Epoch: 0 Step 0 	Learning rate: 0.100000
Epoch: [0][360/125353]	Time: 0.524 (0.528)	Epoch time [hr]: 0.053 (18.380)	Memory: 10.816 (14.959)	Loss: 3.3366 (8.8429)	Prec@1: 14.905 (12.334)	Prec@5: 39.758 (34.098)
Epoch: [0][370/125353]	Time: 0.522 (0.528)	Epoch time [hr]: 0.054 (18.376)	Memory: 10.816 (14.959)	Loss: 3.2262 (8.6929)	Prec@1: 15.515 (12.433)	Prec@5: 44.226 (34.298)
Epoch: [0][380/125353]	Time: 0.526 (0.528)	Epoch time [hr]: 0.056 (18.372)	Memory: 10.816 (14.959)	Loss: 3.2864 (8.5511)	Prec@1: 16.138 (12.539)	Prec@5: 43.237 (34.497)
Epoch: [0][390/125353]	Time: 0.524 (0.527)	Epoch time [hr]: 0.057 (18.368)	Memory: 10.816 (14.959)	Loss: 3.2706 (8.4159)	Prec@1: 17.883 (12.662)	Prec@5: 41.992 (34.684)
Epoch: 0 Step 400 	Learning rate: 0.100000
Epoch: [0][400/125353]	Time: 0.522 (0.527)	Epoch time [hr]: 0.059 (18.364)	Memory: 10.816 (14.959)	Loss: 3.2010 (8.2871)	Prec@1: 18.469 (12.788)	Prec@5: 43.945 (34.894)
Epoch: [0][410/125353]	Time: 0.523 (0.527)	Epoch time [hr]: 0.060 (18.360)	Memory: 10.816 (14.959)	Loss: 3.2849 (8.1643)	Prec@1: 18.420 (12.917)	Prec@5: 42.664 (35.097)
Epoch: [0][420/125353]	Time: 0.524 (0.527)	Epoch time [hr]: 0.062 (18.357)	Memory: 10.816 (14.959)	Loss: 3.1992 (8.0474)	Prec@1: 18.396 (13.037)	Prec@5: 43.738 (35.294)
Epoch: [0][430/125353]	Time: 0.524 (0.527)	Epoch time [hr]: 0.063 (18.354)	Memory: 10.816 (14.959)	Loss: 3.2278 (7.9360)	Prec@1: 18.372 (13.155)	Prec@5: 44.409 (35.485)
Epoch: [0][440/125353]	Time: 0.526 (0.527)	Epoch time [hr]: 0.065 (18.351)	Memory: 10.816 (14.959)	Loss: 3.2643 (7.8292)	Prec@1: 18.054 (13.269)	Prec@5: 44.275 (35.693)
Epoch: [0][450/125353]	Time: 0.524 (0.527)	Epoch time [hr]: 0.066 (18.348)	Memory: 10.816 (14.959)	Loss: 3.2146 (7.7267)	Prec@1: 17.712 (13.377)	Prec@5: 44.849 (35.897)
Epoch: [0][460/125353]	Time: 0.523 (0.527)	Epoch time [hr]: 0.067 (18.346)	Memory: 10.816 (14.959)	Loss: 3.2286 (7.6289)	Prec@1: 18.518 (13.481)	Prec@5: 45.068 (36.075)
Epoch: [0][470/125353]	Time: 0.526 (0.527)	Epoch time [hr]: 0.069 (18.343)	Memory: 10.816 (14.959)	Loss: 3.2019 (7.5350)	Prec@1: 18.848 (13.584)	Prec@5: 42.993 (36.250)
Epoch: [0][480/125353]	Time: 0.523 (0.527)	Epoch time [hr]: 0.070 (18.341)	Memory: 10.816 (14.959)	Loss: 3.1956 (7.4452)	Prec@1: 18.530 (13.678)	Prec@5: 44.604 (36.427)
Epoch: [0][490/125353]	Time: 0.524 (0.527)	Epoch time [hr]: 0.072 (18.339)	Memory: 10.816 (14.959)	Loss: 3.1447 (7.3590)	Prec@1: 18.201 (13.768)	Prec@5: 44.897 (36.589)
Epoch: 0 Step 500 	Learning rate: 0.100000
Epoch: [0][500/125353]	Time: 0.525 (0.527)	Epoch time [hr]: 0.073 (18.336)	Memory: 10.816 (14.959)	Loss: 3.2698 (7.2757)	Prec@1: 17.493 (13.856)	Prec@5: 43.311 (36.755)
Epoch: [0][510/125353]	Time: 0.522 (0.527)	Epoch time [hr]: 0.075 (18.334)	Memory: 10.816 (14.959)	Loss: 3.1581 (7.1957)	Prec@1: 18.372 (13.940)	Prec@5: 46.350 (36.930)
Epoch: [0][520/125353]	Time: 0.523 (0.527)	Epoch time [hr]: 0.076 (18.333)	Memory: 10.816 (14.959)	Loss: 3.2022 (7.1191)	Prec@1: 18.481 (14.021)	Prec@5: 44.800 (37.086)
Epoch: [0][530/125353]	Time: 0.524 (0.526)	Epoch time [hr]: 0.078 (18.331)	Memory: 10.816 (14.959)	Loss: 3.2250 (7.0452)	Prec@1: 17.578 (14.095)	Prec@5: 43.811 (37.241)
Epoch: [0][540/125353]	Time: 0.524 (0.526)	Epoch time [hr]: 0.079 (18.330)	Memory: 10.816 (14.959)	Loss: 3.1697 (6.9738)	Prec@1: 17.883 (14.171)	Prec@5: 43.970 (37.398)
Epoch: [0][550/125353]	Time: 0.523 (0.526)	Epoch time [hr]: 0.081 (18.328)	Memory: 10.816 (14.959)	Loss: 3.1627 (6.9051)	Prec@1: 17.566 (14.241)	Prec@5: 46.179 (37.538)
Epoch: [0][560/125353]	Time: 0.522 (0.526)	Epoch time [hr]: 0.082 (18.326)	Memory: 10.816 (14.959)	Loss: 3.1794 (6.8385)	Prec@1: 18.323 (14.309)	Prec@5: 45.410 (37.691)
Epoch: [0][570/125353]	Time: 0.522 (0.526)	Epoch time [hr]: 0.083 (18.324)	Memory: 10.816 (14.959)	Loss: 3.1826 (6.7744)	Prec@1: 17.505 (14.371)	Prec@5: 45.093 (37.852)
Epoch: [0][580/125353]	Time: 0.525 (0.526)	Epoch time [hr]: 0.085 (18.323)	Memory: 10.816 (14.959)	Loss: 3.3007 (6.7125)	Prec@1: 18.250 (14.433)	Prec@5: 44.409 (38.012)
