Epoch: 0 Step 0 	Learning rate: 0.100000
Epoch: [0][590/62676]	Time: 1.079 (1.080)	Epoch time [hr]: 0.177 (18.799)	Memory: 19.662 (28.519)	Loss: 2.7722 (4.8016)	Prec@1: 22.296 (19.037)	Prec@5: 58.868 (50.930)
Epoch: 0 Step 600 	Learning rate: 0.100000
Epoch: [0][600/62676]	Time: 1.078 (1.080)	Epoch time [hr]: 0.180 (18.798)	Memory: 19.662 (28.519)	Loss: 2.8506 (4.7678)	Prec@1: 20.123 (19.083)	Prec@5: 56.970 (51.067)
Epoch: [0][610/62676]	Time: 1.078 (1.080)	Epoch time [hr]: 0.183 (18.799)	Memory: 19.662 (28.519)	Loss: 2.7580 (4.7355)	Prec@1: 22.540 (19.134)	Prec@5: 58.832 (51.193)
Epoch: [0][620/62676]	Time: 1.078 (1.080)	Epoch time [hr]: 0.186 (18.799)	Memory: 19.662 (28.519)	Loss: 2.7624 (4.7034)	Prec@1: 22.943 (19.196)	Prec@5: 59.015 (51.329)
Epoch: [0][630/62676]	Time: 1.076 (1.080)	Epoch time [hr]: 0.189 (18.798)	Memory: 19.662 (28.519)	Loss: 2.7484 (4.6726)	Prec@1: 23.248 (19.259)	Prec@5: 60.059 (51.459)
Epoch: [0][640/62676]	Time: 1.079 (1.080)	Epoch time [hr]: 0.192 (18.797)	Memory: 19.662 (28.519)	Loss: 2.7696 (4.6426)	Prec@1: 21.979 (19.312)	Prec@5: 59.534 (51.587)
Epoch: [0][650/62676]	Time: 1.076 (1.080)	Epoch time [hr]: 0.195 (18.798)	Memory: 19.662 (28.519)	Loss: 2.7737 (4.6134)	Prec@1: 23.218 (19.368)	Prec@5: 59.216 (51.709)
Epoch: [0][660/62676]	Time: 1.080 (1.080)	Epoch time [hr]: 0.198 (18.797)	Memory: 19.662 (28.519)	Loss: 2.7429 (4.5852)	Prec@1: 22.772 (19.424)	Prec@5: 60.028 (51.825)
Epoch: [0][670/62676]	Time: 1.081 (1.080)	Epoch time [hr]: 0.201 (18.797)	Memory: 19.662 (28.519)	Loss: 2.7276 (4.5576)	Prec@1: 23.346 (19.486)	Prec@5: 59.979 (51.944)
