Epoch: 0 Step 0 	Learning rate: 0.100000
Epoch: [0][760/125353]	Time: 0.541 (0.543)	Epoch time [hr]: 0.115 (18.910)	Memory: 11.469 (16.607)	Loss: 20.6988 (9.1820)	Prec@1: 1.855 (11.413)	Prec@5: 18.213 (35.597)
Epoch: [0][770/125353]	Time: 0.540 (0.543)	Epoch time [hr]: 0.116 (18.909)	Memory: 11.469 (16.607)	Loss: 11.1218 (9.1997)	Prec@1: 3.320 (11.358)	Prec@5: 15.112 (35.452)
Epoch: [0][780/125353]	Time: 0.541 (0.543)	Epoch time [hr]: 0.118 (18.908)	Memory: 11.469 (16.607)	Loss: 10.3553 (9.1778)	Prec@1: 5.078 (11.297)	Prec@5: 27.405 (35.358)
Epoch: [0][790/125353]	Time: 0.543 (0.543)	Epoch time [hr]: 0.119 (18.907)	Memory: 11.469 (16.607)	Loss: 6.7238 (9.1717)	Prec@1: 12.817 (11.237)	Prec@5: 28.564 (35.226)
Epoch: 0 Step 800 	Learning rate: 0.100000
Epoch: [0][800/125353]	Time: 0.541 (0.543)	Epoch time [hr]: 0.121 (18.907)	Memory: 11.469 (16.607)	Loss: 6.5617 (9.1552)	Prec@1: 5.664 (11.180)	Prec@5: 20.764 (35.103)
Epoch: [0][810/125353]	Time: 0.542 (0.543)	Epoch time [hr]: 0.122 (18.906)	Memory: 11.469 (16.607)	Loss: 5.6555 (9.1152)	Prec@1: 8.789 (11.129)	Prec@5: 27.710 (35.012)
Epoch: [0][820/125353]	Time: 0.541 (0.543)	Epoch time [hr]: 0.124 (18.906)	Memory: 11.469 (16.607)	Loss: 4.0146 (9.0584)	Prec@1: 6.567 (11.110)	Prec@5: 30.310 (35.012)
Epoch: [0][830/125353]	Time: 0.542 (0.543)	Epoch time [hr]: 0.125 (18.905)	Memory: 11.469 (16.607)	Loss: 3.5470 (8.9958)	Prec@1: 13.184 (11.116)	Prec@5: 40.955 (35.049)
Epoch: [0][840/125353]	Time: 0.541 (0.543)	Epoch time [hr]: 0.127 (18.904)	Memory: 11.469 (16.607)	Loss: 3.5313 (8.9311)	Prec@1: 13.000 (11.151)	Prec@5: 43.433 (35.124)
Epoch: [0][850/125353]	Time: 0.540 (0.543)	Epoch time [hr]: 0.128 (18.903)	Memory: 11.469 (16.607)	Loss: 3.8256 (8.8820)	Prec@1: 9.949 (11.128)	Prec@5: 41.345 (35.092)
Epoch: [0][860/125353]	Time: 0.540 (0.543)	Epoch time [hr]: 0.130 (18.903)	Memory: 11.469 (16.607)	Loss: 3.4377 (8.8220)	Prec@1: 13.745 (11.144)	Prec@5: 43.030 (35.149)
Epoch: [0][870/125353]	Time: 0.541 (0.543)	Epoch time [hr]: 0.131 (18.902)	Memory: 11.469 (16.607)	Loss: 3.5345 (8.7605)	Prec@1: 7.666 (11.168)	Prec@5: 34.253 (35.226)
